poi_id,name,category,lat,lon,address
goong_lQem1Jc6XYBBsHILul1nkXXXSVN0BYjslrx_UnRdmIxxnnAGoUXj1XGxYz2nuQbJcSSlFrJeQjMh5LEUplnGY9nSgSlSWXOPudLBGUpBgkPl1ilUGpryAkHcGXS2QouvQ,Bệnh viện đa khoa trung tâm Tiền Giang,hospital,10.355091000000073,106.36458600000009,"Bệnh viện đa khoa trung tâm Tiền Giang, 2 Hùng Vương, Phường 1, Mỹ Tho, Tiền Giang"
goong_8oDZC80H0rIdhjlW2iHL7Q32pc4fIYLJk35hzAqkVgGBgmFZGhWL_F1CeWTyxcaLAZ8VwALZjjIJpo2cgsG85TX3F_pCsFQNdZLJWQqBwgOllmkUWthaQgGeyTT2AF_vA,Bệnh viện phụ sản Tiền Giang,hospital,10.35681100000005,106.36424100000005,"Bệnh viện phụ sản Tiền Giang, 4-4A Hùng Vương, Phường 1, Mỹ Tho, Tiền Giang"
goong_UnhcEY2m0aN1iFx1o12r7zbVbXS4cJrYdaJ2E3G7kclG1n4oWAajk3eOO1CUBTqe4b9V2KIlclLi9c1wgomHqyLHWYlS7B5HYdbFHU5Fhkfh0mVwHpweBi3aRVCyRBurR,Bệnh viện Đa khoa huyện Chợ Gạo,hospital,10.353400676000035,106.44931190000005,"Bệnh viện Đa khoa huyện Chợ Gạo, Quốc Lộ 50, Long Bình Điền, Chợ Gạo, Tiền Giang"
goong_FqNvmCdCYEZ-onuzAHKy92mzLodHcaLzfLF8qh5MtoNXjlWIwHCrgFChfLcmFYz_YaxJqRlg_4RpsE2zBk2u-la8Z_tdhoTIZKBWZGVwgOmAmkCW2PRaQgGeyTYA5qRfA,Bệnh viện Nguyễn Đình Chiểu,hospital,10.23867926400004,106.36772479600006,"Bệnh viện Nguyễn Đình Chiểu, 109 Đoàn Hoàng Minh, Phường 5, Bến Tre, Bến Tre"
goong_hIQamoR3vqJUm00brXSt4mA9f5u38ZrbZeUdZRbRItuRVmlEHr2S-wWWKTUm1dpj7ZqQFVbFInO15wklAghGMoVSoQkNga7Lmg6RSRoF0YKhh7UESshKUnmO2STmEE__E,Bệnh viện Đa khoa Long An,hospital,10.531694066000057,106.42630282400006,"Bệnh viện Đa khoa Long An, 211 Nguyễn Thông, Phường 3, Tân An, Long An"
goong_mQ1ZDLVluXx5u2wpsnmhnn2yNTuaaqjBcb1sPJwirZtKqXR7mD-sn3-Bb16wa4fke4FOIal8lJgP3WsUslKhf-zcZ1adV5hyf7tct5trm_KTTV6BrQ2LfpupViabDODNb,Bệnh viện Đa khoa Khu vực Cai Lậy,hospital,10.404941174000044,106.12952469000004,"Bệnh viện Đa khoa Khu vực Cai Lậy, Quốc Lộ 1A cũ, Khu phố 1, Phường 4, Cai Lậy, Tiền Giang"
goong_ryWumFt8sZB5lk2fWWrj0GWqa5-xKeBrHerRrgF4NmOp4gE6dfA_nmi2pf2UYDrrYf91orjh7lJpxu3-oG3eI5njdRapVZevBDbhaTg5omPF9gl20qg6ImH-uVZghD-PY,Bệnh viện Anh Đức,hospital,10.355830231000027,106.36609471600008,"Bệnh viện Anh Đức, 6 Thủ Khoa Huân, Phường 1, Mỹ Tho, Tiền Giang"
goong_R22kcqSLfSdEK7tRk4tE6HdyihyTYOGRb4pPmqdfih10jTzNo22e7nCwRzWlvo7udQdiEl-KmdtFnHY9aWKe-pSiQy2kc7PZdrJEUJJikvt3iFcEpASCknWgXy-SBeUnS,Bệnh viện Đa khoa Thành phố Mỹ Tho,hospital,10.36454761400006,106.36446333100008,"Bệnh viện Đa khoa Thành phố Mỹ Tho, 57 Hùng Vương, Phường 7, Mỹ Tho, Tiền Giang"
goong_a7_PXnhpXVF0uE03uEL6w3W5gCi5bJhnQajhDL5ZptJeqDFBpB-U7l9FoQbNVY30XwiIS4lFg4MxipFEWvmj7-m-rZxG7vrLVbKheSnqIiOFtkk0evh6YiG-6RTWIH_PI,Bệnh viện đa khoa huyện Châu Thành,hospital,10.446398283000065,106.34203156800004,"Bệnh viện đa khoa huyện Châu Thành, 175 Quốc Lộ 1A, Tân Hiệp, Châu Thành, Tiền Giang"
goong_oUR9aYvxvL9pvicbu36V-XG9UBa4Yo6OWstpKb8YlY5tI5MUpH2mbXGxYk-Ry_Z_b5d-PL5yt9RwynoCvUCKxDS-WGu7QI3KLa1QT41bjeRo1hUgbuxudl2qNQDCNGvbN,Bệnh viện lao phổi Bến Tre,hospital,10.268265764000034,106.39199137800006,"Bệnh viện lao phổi Bến Tre, Hữu Định, Châu Thành, Bến Tre"
